,Location Name,Street Address,Hours Open,Level,Location 1,Planning Regions,Counties,Zip Code,Town Index,Coordinates
65,Foxwoods Resort & Casino,101 Trolley  Line Blvd,Open 24 Hours,2,"101 Trolley Line Blvd
Mashantucket
(41.4699817, -71.9523342)",8.0,1045,66,72.0,"(41.4699817, -71.9523342)"
66,Isham Garage,17 Isham Road,Garage Hours,2,"17 Isham Road
West Hartford
(41.7608228, -72.7407631)",1.0,1041,158,155.0,"(41.7608228, -72.7407631)"
67,CityPlace Garage,185 Asylum Street,Garage Hours,2,"185 Asylum Street
Hartford
(41.7669, -72.6762)",1.0,1041,82,64.0,"(41.7669, -72.6762)"
68,County Line Buick-Nissan,2191 Straits Tpke,Dealership Hours,"2, DC","2191 Straits Tpke
Middlebury
(41.568466, -73.099109)",4.0,1044,200,81.0,"(41.568466, -73.099109)"
69,Cargill Chevrolet,23 Livery Street,Open 24 Hours,2,"23 Livery Street
Putnam
(41.915577, -71.908313)",5.0,39,39,116.0,"(41.915577, -71.908313)"
70,BMW of Bridgeport,43 North Ave,Open 24 Hours,2,"43 North Ave
Bridgeport
(41.2020685, -73.1897466)",2.0,1040,74,15.0,"(41.2020685, -73.1897466)"
71,Alfano Nissan,1530 E Main Street,Dealership Hours,2,"1530 E Main Street
Torrington
(41.8191958, -73.0875574)",6.0,1042,122,143.0,"(41.8191958, -73.0875574)"
72,Gene Langan VW,816 New London Turnpike,Open 24 Hours,2,"816 New London Turnpike
Glastonbury
(41.704415, -72.593366)",1.0,1041,90,54.0,"(41.704415, -72.593366)"
73,Bell Street Garage,28 Bell Street,Open 24 Hours,2,"28 Bell Street
Stamford
(41.0520087, -73.5407297)",9.0,1040,203,135.0,"(41.0520087, -73.5407297)"
74,Norwich Public Utilities,157 N Main Street (Adjacent to Customer Service Building),Open 24 Hours,2,"157 N Main Street (Adjacent to Customer Service Building)
Norwich
(41.527565, -72.064059)",8.0,1045,14,104.0,"(41.527565, -72.064059)"
75,Schaller Mitsubishi,25 Veterans Drive,9 AM-5 PM M-Sat,2,"25 Veterans Drive
New Britain
(41.649365, -72.770648)",1.0,1041,17,89.0,"(41.649365, -72.770648)"
76,Propark America - City of New London,161 Water Street (Located outside of garage entrance from Water St ),Open 24 Hours,"1, 2","161 Water Street (Located outside of garage entrance from Water St )
New London
(41.3566648, -72.0945957)",8.0,1045,144,95.0,"(41.3566648, -72.0945957)"
77,State House Square,10-90 State House Sq,Open 24 Hours,2,"10-90 State House Sq
Hartford
(41.766, -72.6716)",1.0,1041,82,64.0,"(41.766, -72.6716)"
78,Valenti Motors,600 Straits Tpke,Dealership Hours,2,"600 Straits Tpke
Watertown
(41.57525, -73.1005139)",4.0,1042,269,153.0,"(41.57525, -73.1005139)"
79,Windham Town Hall,979 Main Street,Open 24 Hours,2,"979 Main Street
Windham
(41.71292, -72.217506)",8.0,39,207,163.0,"(41.71292, -72.217506)"
80,Yale Acres Community Center,228 Wall Street,Open 24 Hours,2,"228 Wall Street
Meriden
(41.538777, -72.782625)",7.0,1044,199,80.0,"(41.538777, -72.782625)"
81,One Stamford Plaza,263 Tresser Blvd,Open 24 Hours,"1, 2","263 Tresser Blvd
Stamford
(41.05184, -73.5344)",9.0,1040,203,135.0,"(41.05184, -73.5344)"
82,Premier Chevrolet,512 Providence Road,Dealership Hours,2,"512 Providence Road
Brooklyn
(41.79918, -71.9068)",5.0,39,37,19.0,"(41.79918, -71.9068)"
83,Crest Ford,218 Flanders Road ,Open 24 Hours,2,"218 Flanders Road
Niantic
(41.354043, -72.211435)",8.0,1045,31,45.0,"(41.354043, -72.211435)"
84,Figaro Restaurant,90 Elm Street,Open 24 Hours,2,"90 Elm Street
Enfield
(41.996918, -72.5823813)",1.0,1041,108,49.0,"(41.996918, -72.5823813)"
85,Aitoro Appliance Co.,401 Westport Avenue at Strawberry Hill Avenue,Business Hours,2,"401 Westport Avenue at Strawberry Hill Avenue
Norwalk
(41.126616, -73.390279)",9.0,1040,87,103.0,"(41.126616, -73.390279)"
86,Propark America,777 Main Street,Garage Hours,"1, 2","777 Main Street
Hartford
(41.7656639, -72.6734371)",1.0,1041,82,64.0,"(41.7656639, -72.6734371)"
87,Town Center Municipal Parking Lot,83 Market Square,Open 24 Hours,2,"83 Market Square
Newington
(41.696446, -72.721392)",1.0,1041,86,94.0,"(41.696446, -72.721392)"
88,Precision Motors of Mystic,2400 Gold Star Highway,Open 24 Hours,2,"2400 Gold Star Highway
Mystic
(41.390465, -71.988657)",8.0,1045,135,59.0,"(41.390465, -71.988657)"
89,Morande Ford,250 Webster Square Road,"9 AM-5 PM M-Th, 9 AM-2 PM F-Sat",2,"250 Webster Square Road
Berlin
(41.631028, -72.742309)",1.0,1041,253,7.0,"(41.631028, -72.742309)"
90,Tri-Town Teachers Federal Credit Union,61 Jessup Road,Open 24 Hours,2,"61 Jessup Road
Westport
(41.139781, -73.358518)",9.0,1040,179,158.0,"(41.139781, -73.358518)"
91,All-Phase Electric Supply,15 Commerce Way,6 AM-6 PM M-F,2,"15 Commerce Way
South Windsor
(41.858024, -72.600045)",1.0,1041,89,132.0,"(41.858024, -72.600045)"
92,East Hampton Village Center,87 Main Street,Open 24 Hours,2,"87 Main Street
East Hampton
(41.574728, -72.502089)",3.0,1043,273,42.0,"(41.574728, -72.502089)"
93,Goodwin College,403 Main Street,Open 24 Hours,2,"403 Main Street
East Hartford
(41.749991, -72.639357)",1.0,1041,24,43.0,"(41.749991, -72.639357)"
94,Orange Meadows (Peck Lane),550 Boston Post Road,Open 24 Hours,DC,"550 Boston Post Road
Orange
(41.25180054, -73.01777649)",7.0,1044,196,107.0,"(41.25180054, -73.01777649)"
95,Fairfield Tennis Center,210 Old Dam Road,Open 24 Hours,2,"210 Old Dam Road
Fairfield
(41.1247387, -73.2665157)",2.0,1040,111,51.0,"(41.1247387, -73.2665157)"
96,Ridgefield BMW,746 Danbury Road,Dealership Hours,2,"746 Danbury Road
Ridgefield
(41.330578, -73.472216)",9.0,1040,43,118.0,"(41.330578, -73.472216)"
97,Capital Regional Development Association (CRDA)  ,"Front Street North, 105 Columbus Blvd",Daily: 6AM-Midnight,2,"Front Street North, 105 Columbus Blvd
Hartford
(41.762829, -72.670264)",1.0,1041,82,64.0,"(41.762829, -72.670264)"
98,Price Chopper ,1220 Storrs Road,Open 24 Hours,2,"1220 Storrs Road
Storrs
(41.788489, -72.229291)",1.0,38,33,78.0,"(41.788489, -72.229291)"
99,Town Hall of Coventry,1712 Main Street,Open 24 Hours,2,"1712 Main Street
Coventry
(41.781963, -72.309203)",1.0,38,145,32.0,"(41.781963, -72.309203)"
100,Crowley Ford,225 New Britain Ave,Dealership Hours,2,"225 New Britain Ave
Plainville
(41.677956, -72.842337)",1.0,1041,260,110.0,"(41.677956, -72.842337)"
101,Prestige VW,42-46 West Broad Street,Dealership Hours,2,"42-46 West Broad Street
Stamford
(41.0553525, -73.5464906)",9.0,1040,7,135.0,"(41.0553525, -73.5464906)"
102,Wallingford Shopping Center,930 North Colony Road,Open 24 Hours,2,"930 North Colony Road
Wallingford
(41.483774, -72.807124)",7.0,1044,195,148.0,"(41.483774, -72.807124)"
103,La Quinta Inn & Suites,116 Newtown Road,24 hours daily,2,"116 Newtown Road
Danbury
(41.41681751, -73.40630808)",9.0,1040,1,34.0,"(41.41681751, -73.40630808)"
104,Fairfield Parks and Recreation Center,75 Mill Plain Road,Open 24 Hours,2,"75 Mill Plain Road
Fairfield
(41.142152, -73.263962)",2.0,1040,111,51.0,"(41.142152, -73.263962)"
105,Girard Nissan,425 Gold Star Hwy,Dealership Hours,2,"425 Gold Star Hwy
Groton
(41.3713958, -72.0565033)",8.0,1045,243,59.0,"(41.3713958, -72.0565033)"
106,United Illuminating - City of New Haven Union Station Garage,50 Union Avenue,Open 24 Hours,2,"50 Union Avenue
New Haven
(41.297509, -72.926602)",7.0,1044,132,93.0,"(41.297509, -72.926602)"
107,Town of Westport - Town Hall,110 Myrtle Avenue,Open 24 Hours,2,"110 Myrtle Avenue
Westport
(41.1450945, -73.3599921)",9.0,1040,179,158.0,"(41.1450945, -73.3599921)"
108,Darien Southbound Service Plaza,1-95 S,Open 24 Hours,DC,"1-95 S
Darien
(41.068255, -73.504797)",9.0,1040,5,35.0,"(41.068255, -73.504797)"
